epoch,train_error,val_error
0,0.721088,0.595238
1,0.721088,0.595238
2,0.721088,0.595238
3,0.721088,0.595238
4,0.707483,0.595238
5,0.707483,0.595238
6,0.707483,0.595238
7,0.700680,0.571429
8,0.700680,0.571429
9,0.693878,0.571429
10,0.693878,0.547619
11,0.673469,0.547619
12,0.666667,0.547619
13,0.653061,0.547619
14,0.639456,0.547619
15,0.625850,0.523810
16,0.612245,0.523810
17,0.605442,0.476190
18,0.578231,0.452381
19,0.564626,0.452381
20,0.564626,0.500000
21,0.544218,0.500000
22,0.544218,0.452381
23,0.537415,0.452381
24,0.537415,0.476190
25,0.523810,0.428571
26,0.517007,0.428571
27,0.523810,0.428571
28,0.530612,0.428571
29,0.517007,0.428571
30,0.517007,0.428571
31,0.523810,0.428571
32,0.523810,0.452381
33,0.537415,0.452381
34,0.537415,0.452381
35,0.564626,0.476190
36,0.571429,0.476190
37,0.591837,0.476190
38,0.591837,0.476190
39,0.598639,0.500000
40,0.598639,0.500000
41,0.632653,0.523810
42,0.632653,0.523810
43,0.646259,0.523810
44,0.646259,0.547619
45,0.646259,0.547619
46,0.659864,0.571429
47,0.666667,0.571429
48,0.666667,0.595238
49,0.666667,0.642857
50,0.687075,0.666667
51,0.693878,0.690476
52,0.700680,0.690476
53,0.700680,0.690476
54,0.707483,0.690476
55,0.707483,0.714286
56,0.714286,0.714286
57,0.714286,0.714286
58,0.714286,0.714286
59,0.714286,0.714286
60,0.714286,0.714286
61,0.721088,0.714286
62,0.727891,0.714286
63,0.727891,0.714286
64,0.734694,0.714286
65,0.734694,0.714286
66,0.734694,0.714286
67,0.734694,0.714286
68,0.734694,0.738095
69,0.734694,0.738095
70,0.734694,0.738095
71,0.734694,0.738095
72,0.734694,0.738095
73,0.734694,0.738095
74,0.734694,0.738095
75,0.734694,0.738095
76,0.734694,0.738095
77,0.734694,0.738095
78,0.741497,0.738095
79,0.741497,0.738095
80,0.741497,0.738095
81,0.741497,0.738095
82,0.741497,0.738095
83,0.741497,0.738095
84,0.741497,0.738095
85,0.741497,0.738095
86,0.741497,0.738095
87,0.741497,0.738095
88,0.741497,0.738095
89,0.741497,0.738095
90,0.741497,0.738095
91,0.741497,0.738095
92,0.741497,0.738095
93,0.741497,0.738095
94,0.741497,0.738095
95,0.748299,0.738095
96,0.748299,0.738095
97,0.748299,0.738095
98,0.755102,0.738095
99,0.755102,0.738095
100,0.755102,0.738095
101,0.761905,0.738095
102,0.761905,0.738095
103,0.761905,0.738095
104,0.761905,0.738095
105,0.761905,0.738095
106,0.761905,0.738095
107,0.761905,0.738095
108,0.761905,0.738095
109,0.761905,0.738095
110,0.761905,0.738095
111,0.761905,0.738095
112,0.761905,0.738095
113,0.761905,0.738095
114,0.761905,0.738095
115,0.761905,0.738095
116,0.761905,0.738095
117,0.761905,0.738095
118,0.761905,0.738095
119,0.761905,0.738095
120,0.761905,0.738095
121,0.761905,0.738095
122,0.761905,0.738095
123,0.761905,0.738095
124,0.761905,0.738095
125,0.761905,0.738095
126,0.761905,0.738095
127,0.761905,0.738095
128,0.761905,0.738095
129,0.761905,0.738095
130,0.761905,0.738095
131,0.761905,0.738095
132,0.761905,0.738095
133,0.761905,0.738095
134,0.761905,0.738095
135,0.761905,0.738095
136,0.761905,0.738095
137,0.761905,0.738095
138,0.761905,0.738095
139,0.761905,0.738095
140,0.761905,0.738095
141,0.761905,0.738095
142,0.761905,0.738095
143,0.761905,0.738095
144,0.761905,0.738095
145,0.761905,0.738095
146,0.761905,0.738095
147,0.761905,0.738095
148,0.761905,0.738095
149,0.761905,0.738095
150,0.761905,0.738095
151,0.761905,0.738095
152,0.761905,0.738095
153,0.761905,0.738095
154,0.761905,0.738095
155,0.761905,0.738095
156,0.761905,0.738095
157,0.761905,0.738095
