epoch,train_error,val_error
265,0.052051,0.055553
266,0.052029,0.055534
267,0.052008,0.055514
268,0.051986,0.055495
269,0.051965,0.055476
270,0.051945,0.055458
271,0.051925,0.055439
272,0.051905,0.055421
273,0.051885,0.055404
274,0.051866,0.055386
275,0.051847,0.055369
276,0.051828,0.055352
277,0.051810,0.055335
278,0.051792,0.055319
279,0.051774,0.055303
280,0.051756,0.055287
281,0.051739,0.055271
282,0.051722,0.055256
283,0.051705,0.055240
284,0.051689,0.055225
285,0.051672,0.055210
286,0.051656,0.055196
287,0.051640,0.055181
288,0.051625,0.055167
289,0.051609,0.055153
290,0.051594,0.055139
291,0.051579,0.055126
292,0.051565,0.055112
293,0.051550,0.055099
294,0.051536,0.055086
295,0.051522,0.055073
296,0.051508,0.055060
297,0.051494,0.055047
298,0.051481,0.055035
299,0.051468,0.055023
300,0.051455,0.055011
301,0.051442,0.054999
302,0.051429,0.054987
303,0.051416,0.054975
304,0.051404,0.054964
305,0.051392,0.054952
306,0.051380,0.054941
307,0.051368,0.054930
308,0.051356,0.054919
309,0.051344,0.054908
310,0.051333,0.054897
311,0.051322,0.054887
312,0.051311,0.054876
313,0.051300,0.054866
314,0.051289,0.054856
315,0.051278,0.054846
316,0.051267,0.054836
317,0.051257,0.054826
318,0.051247,0.054816
319,0.051237,0.054806
320,0.051226,0.054797
321,0.051217,0.054787
322,0.051207,0.054778
323,0.051197,0.054769
324,0.051188,0.054759
325,0.051178,0.054750
326,0.051169,0.054741
327,0.051160,0.054733
328,0.051150,0.054724
329,0.051142,0.054715
330,0.051133,0.054707
331,0.051124,0.054698
332,0.051115,0.054690
333,0.051107,0.054681
334,0.051098,0.054673
335,0.051090,0.054665
336,0.051082,0.054657
337,0.051073,0.054649
338,0.051065,0.054641
339,0.051057,0.054633
340,0.051049,0.054625
341,0.051042,0.054618
342,0.051034,0.054610
343,0.051026,0.054602
344,0.051019,0.054595
345,0.051011,0.054588
346,0.051004,0.054580
347,0.050997,0.054573
348,0.050990,0.054566
349,0.050982,0.054559
350,0.050975,0.054551
351,0.050968,0.054544
352,0.050962,0.054537
353,0.050955,0.054531
354,0.050948,0.054524
355,0.050941,0.054517
356,0.050935,0.054510
357,0.050928,0.054504
358,0.050922,0.054497
359,0.050915,0.054490
360,0.050909,0.054484
361,0.050903,0.054478
362,0.050897,0.054471
363,0.050891,0.054465
364,0.050885,0.054459
365,0.050879,0.054452
366,0.050873,0.054446
367,0.050867,0.054440
368,0.050861,0.054434
369,0.050855,0.054428
370,0.050850,0.054422
371,0.050844,0.054416
372,0.050838,0.054410
373,0.050833,0.054404
374,0.050828,0.054399
375,0.050822,0.054393
376,0.050817,0.054387
377,0.050812,0.054381
378,0.050806,0.054376
379,0.050801,0.054370
380,0.050796,0.054365
381,0.050791,0.054359
382,0.050786,0.054354
383,0.050781,0.054348
384,0.050776,0.054343
385,0.050771,0.054338
386,0.050766,0.054332
